Title,Model,Gold Weight,Brilliant Weight,Brilliant Type,Color Grade,Clarity,Polish,Quality Type,Guaranty Type,Stone Weight,Price
حلقه ست طلا ازدواج خاص سفید و زرد نگین برلیان ,srd1662,18/140,1/19 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,162200000
حلقه ست طلا ازدواج سولیتر سفید و زرد نگین برلیان ,srd1661,12/720,1/00 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,170580000
حلقه ست ازدواج طلا سفید نگین الماس تراش برلیان ,srd1660,18/270,0/67 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,106960000
حلقه ست ازدواج طلا زرد و سفید عروسی نگین برلیان ,srd1659,16/630,0/91 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,123880000
حلقه ست ازدواج طلا سفید رزگلد عروسی نگین برلیان ,srd1658,16/460,0/47 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,79140000
حلقه ست ازدواج طلا سفید رزگلد الماس تراش برلیان ,srd1657,17/840,1/19 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,162200000
حلقه ست ازدواج طلای سفید جواهر الماس تراش برلیان ,srd1656,21/870,0/39 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,123460000
حلقه ست ازدواج طلا سفید رزگلد الماس تراش برلیان ,srd1655,16/520,0/50 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,82060000
حلقه ست ازدواج طلا سفید عروس و داماد نگین برلیان ,srd1654,16/880,0/41 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,125780000
حلقه ست ازدواج طلا زرد و جواهر با نگین برلیان , srd1653,15/480,0/97 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,199330000
حلقه ست ازدواج طلا سفید و جواهر با نگین برلیان , srd1652,12/390,0/61 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,92280000
حلقه ست ازدواج طلای زرد و سفید با نگین الماس تراش برلیان , srd1651,17/590,0/76 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,89040000
حلقه ست ازدواج طلای رزگلد و جواهر با نگین الماس تراش برلیان , srd1650,19/210,0/35 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,76990000
حلقه ست ازدواج طلای زرد و سفید با نگین الماس تراش برلیان , srd1649,17/490,0/35 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,90580000
حلقه ست ازدواج طلای رزگلد و سفید با نگین الماس تراش برلیان طرح ورساچه , srd1648,21/250,0/45 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,94330000
حلقه ست ازدواج طلا سفید برلیان و یاقوت دو قلب ,srd1647,14/590,0/09 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,50630000
حلقه ست ازدواج طلا سفید نگین برلیان طرح پازل قلب ,srd1645,14/820,0/84 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,92060000
حلقه ست ازدواج طلای رزگلد و سفید با نگین برلیان , srd1644,19/140,0/92 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,93640000
حلقه ست با حکاکی اسم طلای زرد و سفید با نگین برلیان , srd1643,13/260,0/20 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,49940000
حلقه ازدواج ست خاص طلای زرد و سفید با نگین برلیان , srd1642,20/040,0/80 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,92250000
ست حلقه ازدواج و عروسی طلا با نگین الماس تراش برلیان , srd1641,13/850,1/36 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,113250000
حلقه ست عروسی داماد و عروس طلا با نگین الماس تراش برلیان , srd1640,13/440,1/32 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,109900000
حلقه ست ازدواج طلای داماد و عروس با نگین الماس تراش برلیان , srd1639,18/460,1/81 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,150940000
حلقه ست ازدواج طلای دو رنگ با نگین الماس تراش برلیان , srd1638,14/350,1/41 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,117330000
حلقه ست ازدواج طلا زرد و سفید با نگین الماس تراش برلیان , srd1637,15/790,1/55 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,129060000
حلقه ست ازدواج طلا با نگین الماس تراش برلیان , srd1636,14/350,1/41 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,117330000
حلقه ست ازدواج طلا زرد و سفید با نگین الماس تراش برلیان , srd1635,11/690,1/15 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,95580000
حلقه ست ازدواج طلای سفید و رزگلد با نگین برلیان طرح پازل قلب , srd1634,15/220,0/44 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,102020000
حلقه ازدواج ست پازل قلب طلای سفید و رزگلد با نگین برلیان , srd1633,8/490,0/83 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,69440000
حلقه ست ازدواج با نگین برلیان عروس و داماد طلا ,srd1632,11/450,1/12 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,93610000
حلقه ازدواج ست پازل قلب طلای سفید با نگین برلیان , srd1631,11/450,1/12 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,93610000
حلقه ازدواج ست طلای سفید با نگین برلیان طرح قفل قلب , srd1631,7/850,0/77 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,64160000
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان طرح تاج و قلب , srd1630,29/560,2/90 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,241660000
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان , srd1629,8/560,0/84 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,70000000
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان , srd1628,6/630,0/65 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,54160000
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان با طرح بینهایت , srd1627,10/840,1/06 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,88610000
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان , srd1626,8/050,0/79 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,65830000
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان , srd1625,13/490,1/32 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,110270000
حلقه ازدواج ست طلای سفید و رزگلد با نگین الماس تراش برلیان , srd1624,8/490,0/83 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,69440000
حلقه ازدواج ست طلای زرد با نگین الماس تراش برلیان طرح اسلیمی , srd1624,17/710,1/47 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,130550000
